# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,,,,,,,
# for any damages resulting from its use.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,,,
# retrieved: 2017-02-20 18:45:56 EST       (vaww02),,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,
"#    USGS 0209734440 BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC",,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data provided for site 0209734440,,,,,,,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,,,,,,,
"#         86321       00065     00001     Gage height, feet (Maximum)",,,,,,,,,,,,,,
"#         86322       00065     00002     Gage height, feet (Minimum)",,,,,,,,,,,,,,
"#         86323       00065     00003     Gage height, feet (Mean)",,,,,,,,,,,,,,
"#         86324       00060     00001     Discharge, cubic feet per second (Maximum)",,,,,,,,,,,,,,
"#         86325       00060     00002     Discharge, cubic feet per second (Minimum)",,,,,,,,,,,,,,
"#         86326       00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,,,,,,
#        ,,,,,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,,,,,,
#     e  Value has been estimated.,,,,,,,,,,,,,,
# 5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s
agency_cd,site_no,datetime,86321_00065_00001,86321_00065_00001_cd,86322_00065_00002,86322_00065_00002_cd,86323_00065_00003,86323_00065_00003_cd,86324_00060_00001,86324_00060_00001_cd,86325_00060_00002,86325_00060_00002_cd,86326_00060_00003,86326_00060_00003_cd
USGS,209734440,11/12/12,1.84,A,1.82,A,1.83,A,0.48,A,0.42,A,0.44,A
USGS,209734440,11/13/12,1.88,A,1.83,A,1.85,A,0.63,A,0.45,A,0.51,A
USGS,209734440,11/14/12,1.9,A,1.86,A,1.89,A,0.72,A,0.55,A,0.67,A
USGS,209734440,11/15/12,1.91,A,1.86,A,1.87,A,0.76,A,0.55,A,0.61,A
USGS,209734440,11/16/12,1.94,A,1.89,A,1.92,A,0.91,A,0.67,A,0.81,A
USGS,209734440,11/17/12,1.91,A,1.87,A,1.89,A,0.76,A,0.59,A,0.66,A
USGS,209734440,11/18/12,1.88,A,1.86,A,1.87,A,0.63,A,0.55,A,0.59,A
USGS,209734440,11/19/12,1.87,A,1.86,A,1.86,A,0.59,A,0.55,A,0.56,A
USGS,209734440,11/20/12,1.87,A,1.86,A,1.86,A,0.59,A,0.55,A,0.56,A
USGS,209734440,11/21/12,1.87,A,1.86,A,1.86,A,0.59,A,0.55,A,0.56,A
USGS,209734440,11/22/12,1.87,A,1.85,A,1.86,A,0.59,A,0.52,A,0.55,A
USGS,209734440,11/23/12,1.86,A,1.85,A,1.85,A,0.55,A,0.52,A,0.52,A
USGS,209734440,11/24/12,1.86,A,1.84,A,1.85,A,0.55,A,0.45,A,0.49,A
USGS,209734440,11/25/12,1.85,A,1.84,A,1.84,A,0.48,A,0.45,A,0.46,A
USGS,209734440,11/26/12,1.85,A,1.83,A,1.84,A,0.48,A,0.42,A,0.45,A
USGS,209734440,11/27/12,1.85,A,1.84,A,1.84,A,0.48,A,0.45,A,0.46,A
USGS,209734440,11/28/12,1.87,A,1.84,A,1.85,A,0.55,A,0.45,A,0.49,A
USGS,209734440,11/29/12,1.85,A,1.84,A,1.85,A,0.48,A,0.45,A,0.47,A
USGS,209734440,11/30/12,1.85,A,1.84,A,1.84,A,0.48,A,0.45,A,0.46,A
USGS,209734440,12/1/12,1.85,A,1.84,A,1.84,A,0.48,A,0.45,A,0.46,A
USGS,209734440,12/2/12,1.89,A,1.84,A,1.84,A,0.63,A,0.45,A,0.46,A
USGS,209734440,12/3/12,1.89,A,1.84,A,1.86,A,0.63,A,0.45,A,0.51,A
USGS,209734440,12/4/12,1.85,A,1.84,A,1.85,A,0.48,A,0.45,A,0.47,A
USGS,209734440,12/5/12,1.85,A,1.85,A,1.85,A,0.48,A,0.48,A,0.48,A
USGS,209734440,12/6/12,1.85,A,1.84,A,1.85,A,0.48,A,0.45,A,0.48,A
USGS,209734440,12/7/12,1.93,A,1.85,A,1.87,A,0.81,A,0.48,A,0.56,A
USGS,209734440,12/8/12,1.91,A,1.88,A,1.9,A,0.72,A,0.59,A,0.66,A
USGS,209734440,12/9/12,1.88,A,1.87,A,1.88,A,0.59,A,0.55,A,0.57,A
USGS,209734440,12/10/12,1.89,A,1.87,A,1.87,A,0.63,A,0.55,A,0.57,A
USGS,209734440,12/11/12,1.87,A,1.86,A,1.87,A,0.55,A,0.52,A,0.53,A
USGS,209734440,12/12/12,1.89,A,1.84,A,1.85,A,0.63,A,0.45,A,0.5,A
USGS,209734440,12/13/12,2.06,A,1.89,A,2,A,1.7,A,0.63,A,1.2,A
USGS,209734440,12/14/12,1.97,A,1.89,A,1.92,A,1,A,0.63,A,0.77,A
USGS,209734440,12/15/12,1.89,A,1.87,A,1.88,A,0.63,A,0.55,A,0.57,A
USGS,209734440,12/16/12,1.93,A,1.87,A,1.88,A,0.81,A,0.55,A,0.6,A
USGS,209734440,12/17/12,2.17,A,1.93,A,2.07,A,2.8,A,0.81,A,1.8,A
USGS,209734440,12/18/12,2.05,A,1.93,A,1.99,A,1.6,A,0.81,A,1.1,A
USGS,209734440,12/19/12,1.95,A,1.91,A,1.93,A,0.91,A,0.72,A,0.81,A
USGS,209734440,12/20/12,2.08,A,1.89,A,1.91,A,1.8,A,0.63,A,0.75,A
USGS,209734440,12/21/12,2.2,A,2.01,A,2.1,A,3.1,A,1.3,A,2,A
USGS,209734440,12/22/12,2.01,A,1.92,A,1.97,A,1.3,A,0.76,A,1,A
USGS,209734440,12/23/12,1.92,A,1.89,A,1.9,A,0.76,A,0.63,A,0.68,A
USGS,209734440,12/24/12,1.89,A,1.87,A,1.88,A,0.63,A,0.55,A,0.59,A
USGS,209734440,12/25/12,1.88,A,1.87,A,1.87,A,0.59,A,0.55,A,0.57,A
USGS,209734440,12/26/12,3.59,A,1.87,A,2.63,A,107,A,0.55,A,29,A
USGS,209734440,12/27/12,2.67,A,2.27,A,2.42,A,15,A,4.2,A,7.6,A
USGS,209734440,12/28/12,2.27,A,2.14,A,2.19,A,4.2,A,2.4,A,3.1,A
USGS,209734440,12/29/12,2.43,A,2.13,A,2.3,A,7.4,A,2.3,A,4.9,A
USGS,209734440,12/30/12,2.27,A,2.12,A,2.19,A,4.2,A,2.2,A,3,A
USGS,209734440,12/31/12,2.12,A,2.07,A,2.09,A,2.2,A,1.7,A,1.9,A
USGS,209734440,1/1/13,2.12,A,2.06,A,2.07,A,2.2,A,1.7,A,1.7,A
USGS,209734440,1/2/13,2.5,A,2.12,A,2.36,A,9.3,A,2.2,A,6,A
USGS,209734440,1/3/13,2.29,A,2.16,A,2.22,A,4.5,A,2.6,A,3.4,A
USGS,209734440,1/4/13,2.16,A,2.1,A,2.13,A,2.6,A,2,A,2.3,A
USGS,209734440,1/5/13,2.1,A,2.06,A,2.08,A,2,A,1.7,A,1.8,A
USGS,209734440,1/6/13,2.06,A,2.03,A,2.04,A,1.7,A,1.4,A,1.5,A
USGS,209734440,1/7/13,2.03,A,2.01,A,2.02,A,1.4,A,1.3,A,1.3,A
USGS,209734440,1/8/13,2.02,A,1.99,A,2,A,1.3,A,1.1,A,1.2,A
USGS,209734440,1/9/13,1.99,A,1.98,A,1.98,A,1.1,A,1.1,A,1.1,A
USGS,209734440,1/10/13,1.98,A,1.96,A,1.97,A,1.1,A,0.97,A,1.1,A
USGS,209734440,1/11/13,2.06,A,1.96,A,2.01,A,1.7,A,0.97,A,1.3,A
USGS,209734440,1/12/13,2.04,A,1.99,A,2.01,A,1.5,A,1.1,A,1.3,A
USGS,209734440,1/13/13,1.99,A,1.97,A,1.98,A,1.1,A,1,A,1.1,A
USGS,209734440,1/14/13,2.01,A,1.96,A,1.98,A,1.3,A,0.97,A,1.1,A
USGS,209734440,1/15/13,2.05,A,2.01,A,2.03,A,1.6,A,1.3,A,1.4,A
USGS,209734440,1/16/13,2.2,A,2,A,2.07,A,3.1,A,1.2,A,1.8,A
USGS,209734440,1/17/13,3.84,A,2.17,A,2.87,A,158,A,2.8,A,40,A
USGS,209734440,1/18/13,3.82,A,2.84,A,3.18,A,154,A,24,A,57,A
USGS,209734440,1/19/13,2.84,A,2.53,A,2.66,A,24,A,10,A,15,A
USGS,209734440,1/20/13,2.53,A,2.36,A,2.44,A,10,A,6,A,8,A
USGS,209734440,1/21/13,2.36,A,2.27,A,2.31,A,6,A,4.3,A,5.1,A
USGS,209734440,1/22/13,2.27,A,2.18,A,2.22,A,4.3,A,3,A,3.5,A
USGS,209734440,1/23/13,2.18,A,2.13,A,2.15,A,3,A,2.4,A,2.6,A
USGS,209734440,1/24/13,2.13,A,2.08,A,2.11,A,2.4,A,1.9,A,2.2,A
USGS,209734440,1/25/13,2.1,A,2.07,A,2.08,A,2.1,A,1.8,A,2,A
USGS,209734440,1/26/13,2.14,A,2.09,A,2.11,A,2.6,A,2.1,A,2.4,A
USGS,209734440,1/27/13,2.14,A,2.07,A,2.1,A,2.6,A,1.9,A,2.2,A
USGS,209734440,1/28/13,2.07,A,2.06,A,2.07,A,1.9,A,1.8,A,1.9,A
USGS,209734440,1/29/13,2.08,A,2.06,A,2.06,A,2,A,1.8,A,1.9,A
USGS,209734440,1/30/13,2.48,A,2.05,A,2.07,A,9.3,A,1.7,A,1.9,A
USGS,209734440,1/31/13,2.56,A,2.27,A,2.44,A,12,A,4.5,A,8.3,A
USGS,209734440,2/1/13,2.27,A,2.14,A,2.19,A,4.5,A,2.6,A,3.3,A
USGS,209734440,2/2/13,2.14,A,2.1,A,2.11,A,2.6,A,2.2,A,2.3,A
USGS,209734440,2/3/13,2.1,A,2.09,A,2.1,A,2.2,A,2.1,A,2.2,A
USGS,209734440,2/4/13,2.09,A,2.06,A,2.07,A,2.1,A,1.8,A,2,A
USGS,209734440,2/5/13,2.06,A,2.05,A,2.06,A,1.8,A,1.7,A,1.8,A
USGS,209734440,2/6/13,2.05,A,2.02,A,2.04,A,1.7,A,1.5,A,1.6,A
USGS,209734440,2/7/13,2.3,A,2.01,A,2.04,A,5,A,1.4,A,1.7,A
USGS,209734440,2/8/13,3.21,A,2.3,A,2.83,A,55,A,5,A,27,A
USGS,209734440,2/9/13,2.56,A,2.36,A,2.45,A,12,A,6.2,A,8.5,A
USGS,209734440,2/10/13,2.36,A,2.27,A,2.31,A,6.2,A,4.5,A,5.2,A
USGS,209734440,2/11/13,2.27,A,2.25,A,2.26,A,4.5,A,4.2,A,4.3,A
USGS,209734440,2/12/13,2.25,A,2.18,A,2.21,A,4.2,A,3.1,A,3.5,A
USGS,209734440,2/13/13,2.46,A,2.17,A,2.36,A,8.7,A,3,A,6.4,A
USGS,209734440,2/14/13,2.36,A,2.23,A,2.28,A,6.2,A,3.8,A,4.8,A
USGS,209734440,2/15/13,2.23,A,2.18,A,2.2,A,3.8,A,3.1,A,3.4,A
USGS,209734440,2/16/13,2.58,A,2.16,A,2.33,A,13,A,2.9,A,6.4,A
USGS,209734440,2/17/13,2.52,A,2.3,A,2.39,A,10,A,5,A,7,A
USGS,209734440,2/18/13,2.3,A,2.22,A,2.25,A,5,A,3.7,A,4.2,A
USGS,209734440,2/19/13,2.43,A,2.21,A,2.29,A,7.9,A,3.5,A,5.1,A
USGS,209734440,2/20/13,2.39,A,2.25,A,2.31,A,6.9,A,4.2,A,5.2,A
USGS,209734440,2/21/13,2.25,A,2.2,A,2.22,A,4.2,A,3.4,A,3.7,A
USGS,209734440,2/22/13,2.35,A,2.19,A,2.3,A,6,A,3.3,A,5.1,A
USGS,209734440,2/23/13,3.3,A,2.35,A,2.85,A,65,A,6,A,30,A
USGS,209734440,2/24/13,2.84,A,2.52,A,2.66,A,25,A,10,A,16,A
USGS,209734440,2/25/13,2.52,A,2.36,A,2.43,A,10,A,6.2,A,7.9,A
USGS,209734440,2/26/13,3.55,A,2.34,A,2.91,A,101,A,5.8,A,43,A
USGS,209734440,2/27/13,3.09,A,2.62,A,2.79,A,43,A,14,A,23,A
USGS,209734440,2/28/13,2.62,A,2.42,A,2.51,A,14,A,7.6,A,10,A
USGS,209734440,3/1/13,2.42,A,2.32,A,2.37,A,7.6,A,5.4,A,6.4,A
USGS,209734440,3/2/13,2.32,A,2.25,A,2.28,A,5.4,A,4.2,A,4.7,A
USGS,209734440,3/3/13,2.25,A,2.22,A,2.24,A,4.2,A,3.7,A,4,A
USGS,209734440,3/4/13,2.22,A,2.17,A,2.2,A,3.7,A,3,A,3.4,A
USGS,209734440,3/5/13,2.28,A,2.16,A,2.18,A,4.7,A,2.9,A,3.1,A
USGS,209734440,3/6/13,2.33,A,2.21,A,2.27,A,5.6,A,3.5,A,4.5,A
USGS,209734440,3/7/13,2.22,A,2.15,A,2.17,A,3.7,A,2.8,A,3,A
USGS,209734440,3/8/13,2.15,A,2.13,A,2.14,A,2.8,A,2.5,A,2.6,A
USGS,209734440,3/9/13,2.13,A,2.09,A,2.11,A,2.5,A,2.1,A,2.3,A
USGS,209734440,3/10/13,2.1,A,2.08,A,2.08,A,2.2,A,2,A,2.1,A
USGS,209734440,3/11/13,2.08,A,2.07,A,2.07,A,2,A,1.9,A,1.9,A
USGS,209734440,3/12/13,2.78,A,2.07,A,2.45,A,21,A,1.9,A,10,A
USGS,209734440,3/13/13,2.43,A,2.22,A,2.3,A,7.9,A,3.7,A,5.1,A
USGS,209734440,3/14/13,2.22,A,2.16,A,2.19,A,3.7,A,2.9,A,3.2,A
USGS,209734440,3/15/13,2.16,A,2.14,A,2.14,A,2.9,A,2.6,A,2.7,A
USGS,209734440,3/16/13,2.15,A,2.12,A,2.13,A,2.8,A,2.4,A,2.5,A
USGS,209734440,3/17/13,2.12,A,2.09,A,2.1,A,2.4,A,2.1,A,2.2,A
USGS,209734440,3/18/13,2.32,A,2.08,A,2.1,A,5.4,A,2,A,2.3,A
USGS,209734440,3/19/13,2.42,A,2.19,A,2.3,A,7.6,A,3.3,A,5.2,A
USGS,209734440,3/20/13,2.19,A,2.12,A,2.14,A,3.3,A,2.4,A,2.7,A
USGS,209734440,3/21/13,2.12,A,2.09,A,2.11,A,2.4,A,2.1,A,2.3,A
USGS,209734440,3/22/13,2.09,A,2.07,A,2.07,A,2.1,A,1.9,A,2,A
USGS,209734440,3/23/13,2.07,A,2.05,A,2.06,A,1.9,A,1.7,A,1.8,A
USGS,209734440,3/24/13,2.97,A,2.05,A,2.39,A,33,A,1.7,A,12,A
USGS,209734440,3/25/13,2.78,A,2.4,A,2.54,A,21,A,7.1,A,11,A
USGS,209734440,3/26/13,2.4,A,2.27,A,2.33,A,7.1,A,4.5,A,5.7,A
USGS,209734440,3/27/13,2.27,A,2.19,A,2.23,A,4.5,A,3.3,A,3.9,A
USGS,209734440,3/28/13,2.19,A,2.15,A,2.17,A,3.3,A,2.8,A,2.9,A
USGS,209734440,3/29/13,2.15,A,2.11,A,2.12,A,2.8,A,2.3,A,2.5,A
USGS,209734440,3/30/13,2.11,A,2.09,A,2.1,A,2.3,A,2.1,A,2.2,A
USGS,209734440,3/31/13,2.69,A,2.08,A,2.29,A,17,A,2,A,5.6,A
USGS,209734440,4/1/13,2.65,A,2.3,A,2.43,A,15,A,5,A,8.1,A
USGS,209734440,4/2/13,2.3,A,2.18,A,2.23,A,5,A,3.1,A,3.9,A
USGS,209734440,4/3/13,2.18,A,2.13,A,2.15,A,3.1,A,2.5,A,2.8,A
USGS,209734440,4/4/13,3.05,A,2.11,A,2.26,A,40,A,2.3,A,6.3,A
USGS,209734440,4/5/13,3.15,A,2.6,A,2.84,A,49,A,13,A,26,A
USGS,209734440,4/6/13,2.6,A,2.37,A,2.47,A,13,A,6.5,A,9.2,A
USGS,209734440,4/7/13,2.37,A,2.25,A,2.31,A,6.5,A,4.2,A,5.2,A
USGS,209734440,4/8/13,2.25,A,2.19,A,2.22,A,4.2,A,3.3,A,3.7,A
USGS,209734440,4/9/13,2.19,A,2.15,A,2.17,A,3.3,A,2.8,A,3,A
USGS,209734440,4/10/13,2.15,A,2.12,A,2.13,A,2.8,A,2.4,A,2.5,A
USGS,209734440,4/11/13,2.12,A,2.09,A,2.1,A,2.4,A,2.1,A,2.2,A
USGS,209734440,4/12/13,2.72,A,2.08,A,2.32,A,18,A,2,A,5.9,A
USGS,209734440,4/13/13,2.28,A,2.13,A,2.19,A,4.7,A,2.5,A,3.3,A
USGS,209734440,4/14/13,2.13,A,2.08,A,2.1,A,2.5,A,2,A,2.2,A
USGS,209734440,4/15/13,2.1,A,2.08,A,2.09,A,2.2,A,2,A,2.1,A
USGS,209734440,4/16/13,2.09,A,2.06,A,2.07,A,2.1,A,1.8,A,1.9,A
USGS,209734440,4/17/13,2.06,A,2.03,A,2.04,A,1.8,A,1.6,A,1.6,A
USGS,209734440,4/18/13,2.04,A,2.01,A,2.02,A,1.7,A,1.4,A,1.5,A
USGS,209734440,4/19/13,3.16,A,2,A,2.23,A,50,A,1.3,A,9.4,A
USGS,209734440,4/20/13,3.05,A,2.41,A,2.65,A,40,A,7.4,A,16,A
USGS,209734440,4/21/13,2.41,A,2.22,A,2.31,A,7.4,A,3.7,A,5.2,A
USGS,209734440,4/22/13,2.22,A,2.14,A,2.17,A,3.7,A,2.6,A,3.1,A
USGS,209734440,4/23/13,2.14,A,2.1,A,2.12,A,2.6,A,2.2,A,2.4,A
USGS,209734440,4/24/13,2.1,A,2.07,A,2.08,A,2.2,A,1.9,A,2,A
USGS,209734440,4/25/13,2.07,A,2.02,A,2.04,A,1.9,A,1.5,A,1.7,A
USGS,209734440,4/26/13,2.02,A,2,A,2,A,1.5,A,1.3,A,1.4,A
USGS,209734440,4/27/13,2.01,A,1.99,A,1.99,A,1.4,A,1.3,A,1.3,A
USGS,209734440,4/28/13,2.53,A,1.98,A,2.04,A,11,A,1.2,A,2,A
USGS,209734440,4/29/13,2.92,A,2.43,A,2.69,A,30,A,7.9,A,18,A
USGS,209734440,4/30/13,2.43,A,2.24,A,2.32,A,7.9,A,4,A,5.4,A
USGS,209734440,5/1/13,2.24,A,2.18,A,2.2,A,4,A,3.1,A,3.4,A
USGS,209734440,5/2/13,2.18,A,2.14,A,2.16,A,3.1,A,2.6,A,2.9,A
USGS,209734440,5/3/13,2.14,A,2.09,A,2.11,A,2.6,A,2.1,A,2.3,A
USGS,209734440,5/4/13,2.09,A,2.05,A,2.07,A,2.1,A,1.7,A,1.9,A
USGS,209734440,5/5/13,2.05,A,2.03,A,2.04,A,1.7,A,1.6,A,1.6,A
USGS,209734440,5/6/13,3.58,A,2.04,A,2.5,A,106,A,1.7,A,21,A
USGS,209734440,5/7/13,2.74,A,2.38,A,2.53,A,19,A,6.7,A,11,A
USGS,209734440,5/8/13,2.38,A,2.24,A,2.31,A,6.7,A,4,A,5.2,A
USGS,209734440,5/9/13,2.24,A,2.19,A,2.23,A,4,A,3.3,A,3.8,A
USGS,209734440,5/10/13,2.71,A,2.19,A,2.48,A,18,A,3.3,A,10,A
USGS,209734440,5/11/13,2.49,A,2.11,A,2.19,A,9.6,A,2.3,A,3.6,A
USGS,209734440,5/12/13,2.45,A,2.13,A,2.27,A,8.4,A,2.5,A,4.6,A
USGS,209734440,5/13/13,2.13,A,2.03,A,2.07,A,2.5,A,1.6,A,1.9,A
USGS,209734440,5/14/13,2.03,A,1.98,A,2,A,1.6,A,1.2,A,1.3,A
USGS,209734440,5/15/13,1.98,A,1.96,A,1.96,A,1.2,A,1.1,A,1.1,A
USGS,209734440,5/16/13,1.96,A,1.94,A,1.95,A,1.1,A,0.97,A,1,A
USGS,209734440,5/17/13,1.94,A,1.92,A,1.92,A,0.97,A,0.86,A,0.88,A
USGS,209734440,5/18/13,2.5,A,1.89,A,1.96,A,9.9,A,0.72,A,1.5,A
USGS,209734440,5/19/13,3.85,A,2.26,A,2.66,A,160,A,4.3,A,28,A
USGS,209734440,5/20/13,5.69,A,2.75,A,3.49,A,776,A,20,A,161,A
USGS,209734440,5/21/13,3.62,A,2.71,A,3.06,A,113,A,19,A,46,A
USGS,209734440,5/22/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Ae
USGS,209734440,5/23/13,2.85,A,2.34,A,2.5,A,27,A,6.5,A,11,A
USGS,209734440,5/24/13,2.88,A,2.28,A,2.51,A,29,A,5.2,A,12,A
USGS,209734440,5/25/13,2.28,A,2.15,A,2.21,A,5.2,A,3.1,A,4,A
